,min_diff,high_season,delay_15,period_day
363,1.0,1,0,morning
364,13.0,1,0,morning
365,2.0,1,0,morning
366,3.0,1,0,morning
367,7.0,1,0,morning
368,28.0,1,1,morning
369,0.0,1,0,morning
370,5.0,1,0,morning
371,1.0,1,0,morning
372,8.0,1,0,morning
373,7.0,1,0,morning
374,9.0,1,0,morning
375,3.0,1,0,morning
376,38.0,1,1,afternoon
377,6.0,1,0,afternoon
378,2.0,1,0,afternoon
379,19.0,1,1,afternoon
380,15.0,1,0,afternoon
381,27.0,1,1,afternoon
382,59.0,1,1,afternoon
383,14.0,1,0,afternoon
384,3.0,1,0,afternoon
385,14.0,1,0,afternoon
386,19.0,1,1,afternoon
387,5.0,1,0,afternoon
388,13.0,1,0,afternoon
389,19.0,1,1,afternoon
390,10.0,1,0,afternoon
391,37.0,1,1,afternoon
392,23.0,1,1,afternoon
393,11.0,1,0,afternoon
394,7.0,1,0,afternoon
395,15.0,1,0,afternoon
396,1.0,1,0,afternoon
397,15.0,1,0,afternoon
398,30.0,1,1,afternoon
399,22.0,1,1,afternoon
400,37.0,1,1,afternoon
401,12.0,1,0,afternoon
402,0.0,1,0,afternoon
403,6.0,1,0,afternoon
404,21.0,1,1,afternoon
405,2.0,1,0,afternoon
406,17.0,1,1,afternoon
407,8.0,1,0,morning
408,6.0,1,0,morning
409,5.0,1,0,night
410,4.0,1,0,night
411,10.0,1,0,night
412,12.0,1,0,night
413,2.0,1,0,night
414,13.0,1,0,night
415,12.0,1,0,night
416,10.0,1,0,night
417,14.0,1,0,night
418,3.0,1,0,night
419,6.0,1,0,night
420,13.0,1,0,night
421,13.0,1,0,night
422,9.0,1,0,night
423,1.0,1,0,night
424,3.0,1,0,night
425,1.0,1,0,night
426,12.0,1,0,night
427,8.0,1,0,night
428,14.0,1,0,night
429,1.0,1,0,night
430,6.0,1,0,night
431,5.0,1,0,night
432,7.0,1,0,night
433,1.0,1,0,night
434,4.0,1,0,night
435,14.0,1,0,night
436,5.0,1,0,night
437,32.0,1,1,morning
438,37.0,1,1,afternoon
439,10.0,1,0,afternoon
440,5.0,1,0,afternoon
441,6.0,1,0,afternoon
442,13.0,1,0,afternoon
443,9.0,1,0,afternoon
444,2.0,1,0,afternoon
445,32.0,1,1,afternoon
446,10.0,1,0,afternoon
447,26.0,1,1,afternoon
448,13.0,1,0,afternoon
449,11.0,1,0,afternoon
450,6.0,1,0,afternoon
451,14.0,1,0,afternoon
452,17.0,1,1,afternoon
453,10.0,1,0,afternoon
454,4.0,1,0,afternoon
455,10.0,1,0,afternoon
456,9.0,1,0,afternoon
457,6.0,1,0,afternoon
458,3.0,1,0,afternoon
459,3.0,1,0,afternoon
460,1.0,1,0,afternoon
461,1.0,1,0,afternoon
462,46.0,1,1,afternoon
463,3.0,1,0,afternoon
464,51.0,1,1,afternoon
465,0.0,1,0,afternoon
466,94.0,1,1,afternoon
467,68.0,1,1,afternoon
468,23.0,1,1,afternoon
469,4.0,1,0,afternoon
470,1.0,1,0,afternoon
471,4.0,1,0,afternoon
472,5.0,1,0,afternoon
473,12.0,1,0,afternoon
474,5.0,1,0,afternoon
475,6.0,1,0,afternoon
476,0.0,1,0,afternoon
477,3.0,1,0,morning
478,0.0,1,0,morning
479,3.0,1,0,morning
480,1.0,1,0,morning
481,5.0,1,0,morning
482,9.0,1,0,morning
483,2.0,1,0,morning
484,2.0,1,0,morning
485,1.0,1,0,morning
486,2.0,1,0,morning
487,10.0,1,0,morning
488,1.0,1,0,morning
489,1.0,1,0,morning
490,2.0,1,0,morning
491,6.0,1,0,morning
492,8.0,1,0,morning
493,6.0,1,0,morning
494,2.0,1,0,morning
495,4.0,1,0,morning
496,4.0,1,0,morning
497,8.0,1,0,morning
498,5.0,1,0,morning
499,1.0,1,0,morning
500,1.0,1,0,morning
501,7.0,1,0,morning
502,3.0,1,0,morning
503,1.0,1,0,morning
504,3.0,1,0,morning
505,11.0,1,0,morning
506,7.0,1,0,morning
507,8.0,1,0,morning
508,3.0,1,0,afternoon
509,0.0,1,0,afternoon
510,4.0,1,0,afternoon
511,0.0,1,0,afternoon
512,0.0,1,0,afternoon
513,12.0,1,0,afternoon
514,8.0,1,0,afternoon
515,24.0,1,1,afternoon
516,1.0,1,0,afternoon
517,10.0,1,0,afternoon
518,9.0,1,0,afternoon
519,6.0,1,0,afternoon
520,6.0,1,0,afternoon
521,6.0,1,0,afternoon
522,6.0,1,0,afternoon
523,14.0,1,0,afternoon
524,0.0,1,0,afternoon
525,4.0,1,0,afternoon
526,4.0,1,0,afternoon
527,10.0,1,0,afternoon
528,19.0,1,1,afternoon
529,2.0,1,0,afternoon
530,8.0,1,0,afternoon
531,3.0,1,0,afternoon
532,4.0,1,0,afternoon
533,4.0,1,0,afternoon
534,1.0,1,0,afternoon
535,10.0,1,0,afternoon
536,9.0,1,0,afternoon
537,3.0,1,0,afternoon
538,0.0,1,0,afternoon
539,6.0,1,0,night
540,6.0,1,0,night
541,7.0,1,0,night
542,9.0,1,0,night
543,4.0,1,0,night
544,4.0,1,0,night
545,2.0,1,0,night
546,32.0,1,1,night
547,8.0,1,0,night
548,3.0,1,0,night
549,9.0,1,0,night
550,11.0,1,0,night
551,6.0,1,0,night
552,13.0,1,0,night
553,10.0,1,0,night
554,12.0,1,0,night
555,2.0,1,0,night
556,14.0,1,0,night
557,10.0,1,0,night
558,8.0,1,0,night
559,4.0,1,0,night
560,14.0,1,0,night
561,4.0,1,0,night
562,6.0,1,0,night
563,2.0,1,0,night
564,8.0,1,0,night
565,10.0,1,0,night
566,0.0,1,0,night
567,8.0,1,0,morning
568,7.0,1,0,morning
569,4.0,1,0,morning
570,15.0,1,0,morning
571,3.0,1,0,morning
572,6.0,1,0,morning
573,57.0,1,1,morning
574,8.0,1,0,morning
575,26.0,1,1,morning
576,1.0,1,0,morning
577,5.0,1,0,morning
578,2.0,1,0,morning
579,4.0,1,0,morning
580,8.0,1,0,morning
581,9.0,1,0,morning
582,2.0,1,0,morning
583,2.0,1,0,morning
584,4.0,1,0,morning
585,10.0,1,0,morning
586,1.0,1,0,morning
587,6.0,1,0,morning
588,1.0,1,0,morning
589,0.0,1,0,morning
590,7.0,1,0,morning
591,7.0,1,0,morning
592,2.0,1,0,night
593,3.0,1,0,night
594,3.0,1,0,night
595,1.0,1,0,night
596,4.0,1,0,night
597,4.0,1,0,night
598,1.0,1,0,night
599,4.0,1,0,night
600,16.0,1,1,night
601,4.0,1,0,night
602,4.0,1,0,night
603,0.0,1,0,night
604,16.0,1,1,night
605,4.0,1,0,night
606,4.0,1,0,night
607,0.0,1,0,night
608,0.0,1,0,night
609,9.0,1,0,night
610,6.0,1,0,night
611,7.0,1,0,night
612,7.0,1,0,night
613,7.0,1,0,night
614,1.0,1,0,night
615,2.0,1,0,night
616,8.0,1,0,night
617,12.0,1,0,night
618,6.0,1,0,night
619,0.0,1,0,night
620,1.0,1,0,night
621,4.0,1,0,night
622,6.0,1,0,night
623,3.0,1,0,night
624,8.0,1,0,night
625,5.0,1,0,night
626,3.0,1,0,night
627,3.0,1,0,night
628,7.0,1,0,night
629,58.0,1,1,night
630,24.0,1,1,night
631,6.0,1,0,night
632,13.0,1,0,night
633,3.0,1,0,night
634,1.0,1,0,night
635,0.0,1,0,night
636,8.0,1,0,night
637,2.0,1,0,night
638,5.0,1,0,night
639,2.0,1,0,night
640,3.0,1,0,night
641,8.0,1,0,night
642,8.0,1,0,night
643,0.0,1,0,night
644,0.0,1,0,night
645,14.0,1,0,night
646,5.0,1,0,night
647,10.0,1,0,night
648,1.0,1,0,night
649,2.0,1,0,night
650,8.0,1,0,night
651,5.0,1,0,night
652,15.0,1,0,morning
653,4.0,1,0,night
654,6.0,1,0,night
655,2.0,1,0,night
656,3.0,1,0,night
657,1.0,1,0,night
658,40.0,1,1,morning
659,6.0,1,0,night
660,5.0,1,0,night
661,4.0,1,0,night
662,9.0,1,0,night
663,16.0,1,1,night
664,3.0,1,0,night
665,4.0,1,0,night
666,8.0,1,0,night
667,1.0,1,0,night
668,0.0,1,0,night
669,18.0,1,1,night
670,1.0,1,0,night
671,1.0,1,0,night
672,2.0,1,0,night
673,4.0,1,0,night
674,2.0,1,0,night
675,50.0,1,1,night
676,4.0,1,0,night
677,14.0,1,0,night
678,4.0,1,0,night
679,0.0,1,0,night
680,1.0,1,0,night
681,72.0,1,1,night
682,20.0,1,1,night
683,5.0,1,0,night
684,13.0,1,0,morning
685,10.0,1,0,morning
686,6.0,1,0,morning
687,3.0,1,0,morning
688,9.0,1,0,morning
689,18.0,1,1,morning
690,9.0,1,0,morning
691,10.0,1,0,morning
692,13.0,1,0,morning
693,7.0,1,0,morning
694,5.0,1,0,morning
695,3.0,1,0,morning
696,13.0,1,0,morning
697,30.0,1,1,morning
698,10.0,1,0,morning
699,0.0,1,0,morning
700,4.0,1,0,morning
701,8.0,1,0,morning
702,8.0,1,0,morning
703,6.0,1,0,morning
704,9.0,1,0,morning
705,8.0,1,0,morning
706,14.0,1,0,morning
707,7.0,1,0,morning
708,11.0,1,0,morning
709,6.0,1,0,afternoon
710,40.0,1,1,afternoon
711,29.0,1,1,afternoon
712,15.0,1,0,afternoon
713,51.0,1,1,afternoon
714,34.0,1,1,afternoon
715,28.0,1,1,afternoon
716,32.0,1,1,afternoon
717,41.0,1,1,afternoon
718,138.0,1,1,afternoon
719,38.0,1,1,afternoon
720,27.0,1,1,afternoon
721,33.0,1,1,afternoon
722,57.0,1,1,afternoon
723,7.0,1,0,afternoon
724,10.0,1,0,afternoon
725,37.0,1,1,afternoon
726,38.0,1,1,afternoon
727,34.0,1,1,afternoon
728,25.0,1,1,afternoon
729,15.0,1,0,afternoon
730,8.0,1,0,afternoon
731,4.0,1,0,afternoon
732,1.0,1,0,afternoon
733,42.0,1,1,afternoon
734,7.0,1,0,afternoon
735,13.0,1,0,afternoon
736,8.0,1,0,afternoon
737,5.0,1,0,afternoon
738,47.0,1,1,afternoon
739,33.0,1,1,afternoon
740,9.0,1,0,night
741,13.0,1,0,night
742,47.0,1,1,night
743,17.0,1,1,night
744,10.0,1,0,night
745,54.0,1,1,night
746,2.0,1,0,night
747,3.0,1,0,night
748,3.0,1,0,night
749,9.0,1,0,night
750,14.0,1,0,night
751,6.0,1,0,night
752,1.0,1,0,night
753,2.0,1,0,night
754,0.0,1,0,night
755,8.0,1,0,night
756,8.0,1,0,night
757,8.0,1,0,night
758,6.0,1,0,night
759,1.0,1,0,night
760,4.0,1,0,night
761,2.0,1,0,afternoon
762,9.0,1,0,afternoon
763,2.0,1,0,afternoon
764,4.0,1,0,afternoon
765,15.0,1,0,afternoon
766,1.0,1,0,afternoon
767,2.0,1,0,afternoon
768,7.0,1,0,afternoon
769,11.0,1,0,afternoon
770,15.0,1,0,afternoon
771,0.0,1,0,afternoon
772,2.0,1,0,afternoon
773,4.0,1,0,afternoon
774,3.0,1,0,afternoon
775,19.0,1,1,afternoon
776,39.0,1,1,afternoon
777,3.0,1,0,afternoon
778,12.0,1,0,afternoon
779,17.0,1,1,afternoon
780,65.0,1,1,afternoon
781,4.0,1,0,afternoon
782,6.0,1,0,afternoon
783,9.0,1,0,afternoon
784,6.0,1,0,afternoon
785,27.0,1,1,afternoon
786,2.0,1,0,afternoon
787,3.0,1,0,afternoon
788,7.0,1,0,afternoon
789,3.0,1,0,afternoon
790,4.0,1,0,afternoon
791,15.0,1,0,afternoon
792,1.0,1,0,afternoon
793,13.0,1,0,afternoon
794,4.0,1,0,afternoon
795,1.0,1,0,afternoon
796,2.0,1,0,afternoon
797,6.0,1,0,afternoon
798,23.0,1,1,afternoon
799,4.0,1,0,afternoon
800,2.0,1,0,afternoon
801,15.0,1,0,afternoon
802,2.0,1,0,afternoon
803,29.0,1,1,afternoon
804,3.0,1,0,afternoon
805,0.0,1,0,afternoon
806,1.0,1,0,afternoon
807,11.0,1,0,afternoon
808,4.0,1,0,afternoon
809,8.0,1,0,afternoon
810,3.0,1,0,afternoon
811,23.0,1,1,afternoon
812,25.0,1,1,afternoon
813,21.0,1,1,afternoon
814,3.0,1,0,morning
815,5.0,1,0,morning
816,0.0,1,0,morning
817,24.0,1,1,morning
818,8.0,1,0,morning
819,1.0,1,0,morning
820,15.0,1,0,morning
821,6.0,1,0,morning
822,12.0,1,0,morning
823,11.0,1,0,morning
824,6.0,1,0,morning
825,1.0,1,0,morning
826,11.0,1,0,morning
827,13.0,1,0,morning
828,23.0,1,1,morning
829,5.0,1,0,morning
830,15.0,1,0,morning
831,14.0,1,0,morning
832,11.0,1,0,morning
833,2.0,1,0,morning
834,10.0,1,0,morning
835,12.0,1,0,morning
836,6.0,1,0,morning
837,14.0,1,0,morning
838,64.0,1,1,morning
839,2.0,1,0,morning
840,9.0,1,0,morning
841,10.0,1,0,morning
842,29.0,1,1,morning
843,8.0,1,0,morning
844,10.0,1,0,morning
845,81.0,1,1,afternoon
846,37.0,1,1,afternoon
847,88.0,1,1,afternoon
848,96.0,1,1,afternoon
849,32.0,1,1,afternoon
850,56.0,1,1,afternoon
851,39.0,1,1,afternoon
852,32.0,1,1,afternoon
853,34.0,1,1,afternoon
854,41.0,1,1,afternoon
855,9.0,1,0,afternoon
856,126.0,1,1,afternoon
857,22.0,1,1,afternoon
858,18.0,1,1,afternoon
859,26.0,1,1,afternoon
860,16.0,1,1,afternoon
861,37.0,1,1,afternoon
862,61.0,1,1,afternoon
863,69.0,1,1,afternoon
864,31.0,1,1,afternoon
865,4.0,1,0,night
866,0.0,1,0,night
867,5.0,1,0,night
868,3.0,1,0,night
869,2.0,1,0,night
870,2.0,1,0,night
871,5.0,1,0,night
872,7.0,1,0,night
873,3.0,1,0,night
874,13.0,1,0,night
875,0.0,1,0,night
876,3.0,1,0,night
877,0.0,1,0,night
878,4.0,1,0,night
879,1.0,1,0,night
880,6.0,1,0,night
881,11.0,1,0,night
882,4.0,1,0,night
883,7.0,1,0,night
884,8.0,1,0,night
885,6.0,1,0,night
886,3.0,1,0,night
887,2.0,1,0,night
888,6.0,1,0,night
889,4.0,1,0,night
890,3.0,1,0,night
891,14.0,1,0,night
892,4.0,1,0,night
893,12.0,1,0,night
894,11.0,1,0,night
895,15.0,1,0,afternoon
896,5.0,1,0,afternoon
897,9.0,1,0,afternoon
898,8.0,1,0,afternoon
899,33.0,1,1,afternoon
900,16.0,1,1,afternoon
901,25.0,1,1,afternoon
902,7.0,1,0,afternoon
903,7.0,1,0,afternoon
904,6.0,1,0,afternoon
905,6.0,1,0,afternoon
906,50.0,1,1,morning
907,7.0,1,0,afternoon
908,5.0,1,0,afternoon
909,7.0,1,0,afternoon
910,8.0,1,0,afternoon
911,4.0,1,0,afternoon
912,1.0,1,0,afternoon
913,15.0,1,0,afternoon
914,7.0,1,0,afternoon
915,68.0,1,1,afternoon
916,14.0,1,0,afternoon
917,4.0,1,0,afternoon
918,14.0,1,0,afternoon
919,11.0,1,0,afternoon
920,15.0,1,0,afternoon
921,2.0,1,0,afternoon
922,10.0,1,0,afternoon
923,4.0,1,0,afternoon
924,1.0,1,0,afternoon
925,17.0,1,1,afternoon
926,2.0,1,0,afternoon
927,0.0,1,0,afternoon
928,7.0,1,0,afternoon
929,1.0,1,0,afternoon
930,13.0,1,0,afternoon
931,3.0,1,0,afternoon
932,2.0,1,0,afternoon
933,2.0,1,0,afternoon
934,8.0,1,0,afternoon
935,8.0,1,0,afternoon
936,10.0,1,0,night
937,3.0,1,0,night
938,11.0,1,0,night
939,0.0,1,0,night
940,9.0,1,0,night
941,1.0,1,0,night
942,3.0,1,0,night
943,7.0,1,0,night
944,12.0,1,0,night
945,14.0,1,0,night
946,9.0,1,0,night
947,2.0,1,0,night
948,3.0,1,0,night
949,3.0,1,0,night
950,1.0,1,0,night
951,2.0,1,0,night
952,6.0,1,0,afternoon
953,13.0,1,0,afternoon
954,15.0,1,0,afternoon
955,3.0,1,0,afternoon
956,88.0,1,1,afternoon
957,0.0,1,0,afternoon
958,13.0,1,0,afternoon
959,13.0,1,0,afternoon
960,5.0,1,0,afternoon
961,7.0,1,0,afternoon
962,2.0,1,0,afternoon
963,14.0,1,0,afternoon
964,7.0,1,0,afternoon
965,12.0,1,0,afternoon
966,1.0,1,0,afternoon
967,57.0,1,1,afternoon
968,26.0,1,1,afternoon
969,34.0,1,1,afternoon
970,7.0,1,0,afternoon
971,4.0,1,0,afternoon
972,3.0,1,0,afternoon
973,10.0,1,0,afternoon
974,10.0,1,0,afternoon
975,0.0,1,0,afternoon
976,22.0,1,1,afternoon
977,5.0,1,0,afternoon
978,7.0,1,0,afternoon
979,5.0,1,0,afternoon
980,10.0,1,0,afternoon
981,4.0,1,0,afternoon
982,1.0,1,0,afternoon
983,3.0,1,0,night
984,2.0,1,0,night
985,10.0,1,0,night
986,6.0,1,0,night
987,19.0,1,1,night
988,2.0,1,0,night
989,9.0,1,0,night
990,2.0,1,0,night
991,12.0,1,0,night
992,3.0,1,0,night
993,1.0,1,0,night
994,2.0,1,0,night
995,2.0,1,0,night
996,2.0,1,0,night
997,7.0,1,0,night
998,8.0,1,0,night
999,3.0,1,0,night
1000,0.0,1,0,night
1001,0.0,1,0,night
1002,8.0,1,0,night
1003,1.0,1,0,night
1004,19.0,1,1,night
1005,4.0,1,0,night
1006,10.0,1,0,night
1007,4.0,1,0,night
1008,15.0,1,0,night
1009,0.0,1,0,night
1010,0.0,1,0,night
1011,6.0,1,0,night
1012,14.0,1,0,night
1013,3.0,1,0,night
1014,3.0,1,0,night
1015,10.0,1,0,night
1016,2.0,1,0,night
1017,9.0,1,0,night
1018,9.0,1,0,night
1019,5.0,1,0,night
1020,13.0,1,0,night
1021,17.0,1,1,night
1022,29.0,1,1,night
1023,5.0,1,0,night
1024,10.0,1,0,night
1025,14.0,1,0,night
1026,2.0,1,0,afternoon
1027,16.0,1,1,afternoon
1028,2.0,1,0,afternoon
1029,7.0,1,0,afternoon
1030,10.0,1,0,afternoon
1031,10.0,1,0,afternoon
1032,13.0,1,0,afternoon
1033,0.0,1,0,afternoon
1034,13.0,1,0,afternoon
1035,5.0,1,0,afternoon
1036,5.0,1,0,afternoon
1037,9.0,1,0,afternoon
1038,10.0,1,0,afternoon
1039,6.0,1,0,afternoon
1040,17.0,1,1,night
1041,15.0,1,0,afternoon
1042,27.0,1,1,afternoon
1043,9.0,1,0,afternoon
1044,21.0,1,1,afternoon
